date,old_testament,new_testament,questions,answers
2025-11-10,எசேக்கியேல் 4–6,எபிரெயர் 3,"1️⃣ எசேக்கியேல் 4–6 வாசிப்பில் தேவன் எந்த காரியத்தை காட்டினார்?
2️⃣ எசேக்கியேல் 4–6 பகுதியில் மக்கள் எந்த பாவத்தில் விழுந்தனர்?
3️⃣ எசேக்கியேல் 4–6 தீர்க்கதரிசி ___ என்பவரிடம் தேவனுடைய வார்த்தையை அறிவித்தார்.
||1️⃣ எபிரெயர் 3 வாசிப்பில் பவுல் என்ன போதித்தார்?
2️⃣ எபிரெயர் 3 பகுதியில் விசுவாசிகளுக்கான முக்கிய அறிவுரை என்ன?
3️⃣ எபிரெயர் 3 வசனத்தில் ___ என்பதன் மூலம் இரட்சிப்பு விளக்கப்படுகிறது.","1️⃣ தேவனுடைய தீர்க்கதரிசனத்தை வெளிப்படுத்தினார்.
2️⃣ அவர்கள் விக்கிரகாராதனையில் மூழ்கினர்.
3️⃣ எருசலேமில்.
||1️⃣ கிறிஸ்துவின் கிருபையைக் குறித்து.
2️⃣ நம்பிக்கையில் நிலைத்து இருங்கள்.
3️⃣ கிறிஸ்து வழியாக."
2025-11-11,எசேக்கியேல் 4–6,எபிரெயர் 3,"1️⃣ எசேக்கியேல் 4–6 வாசிப்பில் தேவன் எந்த காரியத்தை காட்டினார்?
2️⃣ எசேக்கியேல் 4–6 பகுதியில் மக்கள் எந்த பாவத்தில் விழுந்தனர்?
3️⃣ எசேக்கியேல் 4–6 தீர்க்கதரிசி ___ என்பவரிடம் தேவனுடைய வார்த்தையை அறிவித்தார்.
||1️⃣ எபிரெயர் 3 வாசிப்பில் பவுல் என்ன போதித்தார்?
2️⃣ எபிரெயர் 3 பகுதியில் விசுவாசிகளுக்கான முக்கிய அறிவுரை என்ன?
3️⃣ எபிரெயர் 3 வசனத்தில் ___ என்பதன் மூலம் இரட்சிப்பு விளக்கப்படுகிறது.","1️⃣ தேவனுடைய தீர்க்கதரிசனத்தை வெளிப்படுத்தினார்.
2️⃣ அவர்கள் விக்கிரகாராதனையில் மூழ்கினர்.
3️⃣ எருசலேமில்.
||1️⃣ கிறிஸ்துவின் கிருபையைக் குறித்து.
2️⃣ நம்பிக்கையில் நிலைத்து இருங்கள்.
3️⃣ கிறிஸ்து வழியாக."
2025-11-12,எசேக்கியேல் 7–8,எபிரெயர் 4,"1️⃣ எசேக்கியேல் 7–8 வாசிப்பில் தேவன் எந்த காரியத்தை காட்டினார்?
2️⃣ எசேக்கியேல் 7–8 பகுதியில் மக்கள் எந்த பாவத்தில் விழுந்தனர்?
3️⃣ எசேக்கியேல் 7–8 தீர்க்கதரிசி ___ என்பவரிடம் தேவனுடைய வார்த்தையை அறிவித்தார்.
||1️⃣ எபிரெயர் 4 வாசிப்பில் பவுல் என்ன போதித்தார்?
2️⃣ எபிரெயர் 4 பகுதியில் விசுவாசிகளுக்கான முக்கிய அறிவுரை என்ன?
3️⃣ எபிரெயர் 4 வசனத்தில் ___ என்பதன் மூலம் இரட்சிப்பு விளக்கப்படுகிறது.","1️⃣ தேவனுடைய தீர்க்கதரிசனத்தை வெளிப்படுத்தினார்.
2️⃣ அவர்கள் விக்கிரகாராதனையில் மூழ்கினர்.
3️⃣ எருசலேமில்.
||1️⃣ கிறிஸ்துவின் கிருபையைக் குறித்து.
2️⃣ நம்பிக்கையில் நிலைத்து இருங்கள்.
3️⃣ கிறிஸ்து வழியாக."
2025-11-13,எசேக்கியேல் 9–11,எபிரெயர் 5,"1️⃣ எசேக்கியேல் 9–11 வாசிப்பில் தேவன் எந்த காரியத்தை காட்டினார்?
2️⃣ எசேக்கியேல் 9–11 பகுதியில் மக்கள் எந்த பாவத்தில் விழுந்தனர்?
3️⃣ எசேக்கியேல் 9–11 தீர்க்கதரிசி ___ என்பவரிடம் தேவனுடைய வார்த்தையை அறிவித்தார்.
||1️⃣ எபிரெயர் 5 வாசிப்பில் பவுல் என்ன போதித்தார்?
2️⃣ எபிரெயர் 5 பகுதியில் விசுவாசிகளுக்கான முக்கிய அறிவுரை என்ன?
3️⃣ எபிரெயர் 5 வசனத்தில் ___ என்பதன் மூலம் இரட்சிப்பு விளக்கப்படுகிறது.","1️⃣ தேவனுடைய தீர்க்கதரிசனத்தை வெளிப்படுத்தினார்.
2️⃣ அவர்கள் விக்கிரகாராதனையில் மூழ்கினர்.
3️⃣ எருசலேமில்.
||1️⃣ கிறிஸ்துவின் கிருபையைக் குறித்து.
2️⃣ நம்பிக்கையில் நிலைத்து இருங்கள்.
3️⃣ கிறிஸ்து வழியாக."
2025-11-14,எசேக்கியேல் 12–13,எபிரெயர் 6,"1️⃣ எசேக்கியேல் 12–13 வாசிப்பில் தேவன் எந்த காரியத்தை காட்டினார்?
2️⃣ எசேக்கியேல் 12–13 பகுதியில் மக்கள் எந்த பாவத்தில் விழுந்தனர்?
3️⃣ எசேக்கியேல் 12–13 தீர்க்கதரிசி ___ என்பவரிடம் தேவனுடைய வார்த்தையை அறிவித்தார்.
||1️⃣ எபிரெயர் 6 வாசிப்பில் பவுல் என்ன போதித்தார்?
2️⃣ எபிரெயர் 6 பகுதியில் விசுவாசிகளுக்கான முக்கிய அறிவுரை என்ன?
3️⃣ எபிரெயர் 6 வசனத்தில் ___ என்பதன் மூலம் இரட்சிப்பு விளக்கப்படுகிறது.","1️⃣ தேவனுடைய தீர்க்கதரிசனத்தை வெளிப்படுத்தினார்.
2️⃣ அவர்கள் விக்கிரகாராதனையில் மூழ்கினர்.
3️⃣ எருசலேமில்.
||1️⃣ கிறிஸ்துவின் கிருபையைக் குறித்து.
2️⃣ நம்பிக்கையில் நிலைத்து இருங்கள்.
3️⃣ கிறிஸ்து வழியாக."
2025-11-15,எசேக்கியேல் 14–15,எபிரெயர் 7,"1️⃣ எசேக்கியேல் 14–15 வாசிப்பில் தேவன் எந்த காரியத்தை காட்டினார்?
2️⃣ எசேக்கியேல் 14–15 பகுதியில் மக்கள் எந்த பாவத்தில் விழுந்தனர்?
3️⃣ எசேக்கியேல் 14–15 தீர்க்கதரிசி ___ என்பவரிடம் தேவனுடைய வார்த்தையை அறிவித்தார்.
||1️⃣ எபிரெயர் 7 வாசிப்பில் பவுல் என்ன போதித்தார்?
2️⃣ எபிரெயர் 7 பகுதியில் விசுவாசிகளுக்கான முக்கிய அறிவுரை என்ன?
3️⃣ எபிரெயர் 7 வசனத்தில் ___ என்பதன் மூலம் இரட்சிப்பு விளக்கப்படுகிறது.","1️⃣ தேவனுடைய தீர்க்கதரிசனத்தை வெளிப்படுத்தினார்.
2️⃣ அவர்கள் விக்கிரகாராதனையில் மூழ்கினர்.
3️⃣ எருசலேமில்.
||1️⃣ கிறிஸ்துவின் கிருபையைக் குறித்து.
2️⃣ நம்பிக்கையில் நிலைத்து இருங்கள்.
3️⃣ கிறிஸ்து வழியாக."
2025-11-16,எசேக்கியேல் 16–17,எபிரெயர் 8,"1️⃣ எசேக்கியேல் 16–17 வாசிப்பில் தேவன் எந்த காரியத்தை காட்டினார்?
2️⃣ எசேக்கியேல் 16–17 பகுதியில் மக்கள் எந்த பாவத்தில் விழுந்தனர்?
3️⃣ எசேக்கியேல் 16–17 தீர்க்கதரிசி ___ என்பவரிடம் தேவனுடைய வார்த்தையை அறிவித்தார்.
||1️⃣ எபிரெயர் 8 வாசிப்பில் பவுல் என்ன போதித்தார்?
2️⃣ எபிரெயர் 8 பகுதியில் விசுவாசிகளுக்கான முக்கிய அறிவுரை என்ன?
3️⃣ எபிரெயர் 8 வசனத்தில் ___ என்பதன் மூலம் இரட்சிப்பு விளக்கப்படுகிறது.","1️⃣ தேவனுடைய தீர்க்கதரிசனத்தை வெளிப்படுத்தினார்.
2️⃣ அவர்கள் விக்கிரகாராதனையில் மூழ்கினர்.
3️⃣ எருசலேமில்.
||1️⃣ கிறிஸ்துவின் கிருபையைக் குறித்து.
2️⃣ நம்பிக்கையில் நிலைத்து இருங்கள்.
3️⃣ கிறிஸ்து வழியாக."
2025-11-17,எசேக்கியேல் 18–19,எபிரெயர் 9,"1️⃣ எசேக்கியேல் 18–19 வாசிப்பில் தேவன் எந்த காரியத்தை காட்டினார்?
2️⃣ எசேக்கியேல் 18–19 பகுதியில் மக்கள் எந்த பாவத்தில் விழுந்தனர்?
3️⃣ எசேக்கியேல் 18–19 தீர்க்கதரிசி ___ என்பவரிடம் தேவனுடைய வார்த்தையை அறிவித்தார்.
||1️⃣ எபிரெயர் 9 வாசிப்பில் பவுல் என்ன போதித்தார்?
2️⃣ எபிரெயர் 9 பகுதியில் விசுவாசிகளுக்கான முக்கிய அறிவுரை என்ன?
3️⃣ எபிரெயர் 9 வசனத்தில் ___ என்பதன் மூலம் இரட்சிப்பு விளக்கப்படுகிறது.","1️⃣ தேவனுடைய தீர்க்கதரிசனத்தை வெளிப்படுத்தினார்.
2️⃣ அவர்கள் விக்கிரகாராதனையில் மூழ்கினர்.
3️⃣ எருசலேமில்.
||1️⃣ கிறிஸ்துவின் கிருபையைக் குறித்து.
2️⃣ நம்பிக்கையில் நிலைத்து இருங்கள்.
3️⃣ கிறிஸ்து வழியாக."
2025-11-18,எசேக்கியேல் 20,எபிரெயர் 10,"1️⃣ எசேக்கியேல் 20 வாசிப்பில் தேவன் எந்த காரியத்தை காட்டினார்?
2️⃣ எசேக்கியேல் 20 பகுதியில் மக்கள் எந்த பாவத்தில் விழுந்தனர்?
3️⃣ எசேக்கியேல் 20 தீர்க்கதரிசி ___ என்பவரிடம் தேவனுடைய வார்த்தையை அறிவித்தார்.
||1️⃣ எபிரெயர் 10 வாசிப்பில் பவுல் என்ன போதித்தார்?
2️⃣ எபிரெயர் 10 பகுதியில் விசுவாசிகளுக்கான முக்கிய அறிவுரை என்ன?
3️⃣ எபிரெயர் 10 வசனத்தில் ___ என்பதன் மூலம் இரட்சிப்பு விளக்கப்படுகிறது.","1️⃣ தேவனுடைய தீர்க்கதரிசனத்தை வெளிப்படுத்தினார்.
2️⃣ அவர்கள் விக்கிரகாராதனையில் மூழ்கினர்.
3️⃣ எருசலேமில்.
||1️⃣ கிறிஸ்துவின் கிருபையைக் குறித்து.
2️⃣ நம்பிக்கையில் நிலைத்து இருங்கள்.
3️⃣ கிறிஸ்து வழியாக."
2025-11-19,எசேக்கியேல் 23–24,எபிரெயர் 11,"1️⃣ எசேக்கியேல் 23–24 வாசிப்பில் தேவன் எந்த காரியத்தை காட்டினார்?
2️⃣ எசேக்கியேல் 23–24 பகுதியில் மக்கள் எந்த பாவத்தில் விழுந்தனர்?
3️⃣ எசேக்கியேல் 23–24 தீர்க்கதரிசி ___ என்பவரிடம் தேவனுடைய வார்த்தையை அறிவித்தார்.
||1️⃣ எபிரெயர் 11 வாசிப்பில் பவுல் என்ன போதித்தார்?
2️⃣ எபிரெயர் 11 பகுதியில் விசுவாசிகளுக்கான முக்கிய அறிவுரை என்ன?
3️⃣ எபிரெயர் 11 வசனத்தில் ___ என்பதன் மூலம் இரட்சிப்பு விளக்கப்படுகிறது.","1️⃣ தேவனுடைய தீர்க்கதரிசனத்தை வெளிப்படுத்தினார்.
2️⃣ அவர்கள் விக்கிரகாராதனையில் மூழ்கினர்.
3️⃣ எருசலேமில்.
||1️⃣ கிறிஸ்துவின் கிருபையைக் குறித்து.
2️⃣ நம்பிக்கையில் நிலைத்து இருங்கள்.
3️⃣ கிறிஸ்து வழியாக."
