Date,OT_Chapter,NT_Chapter,Questions
2025-11-10,எசேக் 4-6,எபி 3,1️⃣ இன்று நாம் படிக்கும் எசேக் 4-6 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எபி 3 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-12,எசேக் 7-8,எபி 4,1️⃣ இன்று நாம் படிக்கும் எசேக் 7-8 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எபி 4 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-13,எசேக் 9-11,எபி 5,1️⃣ இன்று நாம் படிக்கும் எசேக் 9-11 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எபி 5 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-14,எசேக் 12-13,எபி 6,1️⃣ இன்று நாம் படிக்கும் எசேக் 12-13 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எபி 6 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-15,எசேக் 14-15,எபி 7,1️⃣ இன்று நாம் படிக்கும் எசேக் 14-15 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எபி 7 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-16,எசேக் 16-17,எபி 8,1️⃣ இன்று நாம் படிக்கும் எசேக் 16-17 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எபி 8 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-17,எசேக் 18-19,எபி 9,1️⃣ இன்று நாம் படிக்கும் எசேக் 18-19 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எபி 9 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-18,எசேக் 20,எபி 10,1️⃣ இன்று நாம் படிக்கும் எசேக் 20 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எபி 10 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-19,எசேக் 21-22,,1️⃣ இன்று நாம் படிக்கும் எசேக் 21-22 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எசேக் 21-22 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-20,எசேக் 23-24,எபி 11,1️⃣ இன்று நாம் படிக்கும் எசேக் 23-24 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எபி 11 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-21,எசேக் 25-26,,1️⃣ இன்று நாம் படிக்கும் எசேக் 25-26 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எசேக் 25-26 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-22,எசேக் 27-28,எபி 12,1️⃣ இன்று நாம் படிக்கும் எசேக் 27-28 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எபி 12 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
