Date,OT_Chapter,NT_Chapter,Questions,Answers
2026-01-01,ஆதியாகமம் 1,மத்தேயு 1,"1) ஆதியாகமம் 1 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன? | 2) ஆதியாகமம் 1 இல் எந்த شخصیت(பேர்) முக்கியமான பாத்திரமாக உள்ளது? | 3) ஆதியாகமம் 1 இல் குறிப்பிடப்பட்ட முக்கியமான பாடம் அல்லது நெறியைக் குறுக்கே நிரப்புக: ""________"". || 1) மத்தேயு 1 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன? | 2) மத்தேயு 1 இல் எந்த شخصیت(பேர்) முக்கியமான பாத்திரமாக உள்ளது? | 3) மத்தேயு 1 இல் குறிப்பிடப்பட்ட முக்கியமான பாடம் அல்லது நெறியைக் குறுக்கே நிரப்புக: ""________"".",1) இந்த அத்தியாயத்தின் முக்கிய நிகழ்வு: இங்கே ஆதியாகமம் இல் ஒரு முக்கிய சம்பவம் رخியது மற்றும் அதை 통해 நம்பிக்கை அல்லது கடவுளின் நிகழ்வை போன்று விளக்குகிறது. | 2) இதில் முக்கிய பாத்திரம்: ஆதியாகமம் 1 இல் ஒரு முக்கிய நபர் அல்லது குழு நடிக்கின்றனர். | 3) பதில்: நம்பிக்கை அல்லது poslu அல்லது கடவுளின் அருள் || 1) இந்த அத்தியாயத்தின் முக்கிய நிகழ்வு: இங்கே மத்தேயு இல் ஒரு முக்கிய சம்பவம் رخியது மற்றும் அதை 통해 நம்பிக்கை அல்லது கடவுளின் நிகழ்வை போன்று விளக்குகிறது. | 2) இதில் முக்கிய பாத்திரம்: மத்தேயு 1 இல் ஒரு முக்கிய நபர் அல்லது குழு நடிக்கின்றனர். | 3) பதில்: நம்பிக்கை அல்லது poslu அல்லது கடவுளின் அருள்
2026-01-02,ஆதியாகமம் 2,மத்தேயு 2,"1) ஆதியாகமம் 2 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன? | 2) ஆதியாகமம் 2 இல் எந்த شخصیت(பேர்) முக்கியமான பாத்திரமாக உள்ளது? | 3) ஆதியாகமம் 2 இல் குறிப்பிடப்பட்ட முக்கியமான பாடம் அல்லது நெறியைக் குறுக்கே நிரப்புக: ""________"". || 1) மத்தேயு 2 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன? | 2) மத்தேயு 2 இல் எந்த شخصیت(பேர்) முக்கியமான பாத்திரமாக உள்ளது? | 3) மத்தேயு 2 இல் குறிப்பிடப்பட்ட முக்கியமான பாடம் அல்லது நெறியைக் குறுக்கே நிரப்புக: ""________"".",1) இந்த அத்தியாயத்தின் முக்கிய நிகழ்வு: இங்கே ஆதியாகமம் இல் ஒரு முக்கிய சம்பவம் رخியது மற்றும் அதை 통해 நம்பிக்கை அல்லது கடவுளின் நிகழ்வை போன்று விளக்குகிறது. | 2) இதில் முக்கிய பாத்திரம்: ஆதியாகமம் 2 இல் ஒரு முக்கிய நபர் அல்லது குழு நடிக்கின்றனர். | 3) பதில்: நம்பிக்கை அல்லது poslu அல்லது கடவுளின் அருள் || 1) இந்த அத்தியாயத்தின் முக்கிய நிகழ்வு: இங்கே மத்தேயு இல் ஒரு முக்கிய சம்பவம் رخியது மற்றும் அதை 통해 நம்பிக்கை அல்லது கடவுளின் நிகழ்வை போன்று விளக்குகிறது. | 2) இதில் முக்கிய பாத்திரம்: மத்தேயு 2 இல் ஒரு முக்கிய நபர் அல்லது குழு நடிக்கின்றனர். | 3) பதில்: நம்பிக்கை அல்லது poslu அல்லது கடவுளின் அருள்
2026-01-03,ஆதியாகமம் 3,மத்தேயு 3,"1) ஆதியாகமம் 3 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன? | 2) ஆதியாகமம் 3 இல் எந்த شخصیت(பேர்) முக்கியமான பாத்திரமாக உள்ளது? | 3) ஆதியாகமம் 3 இல் குறிப்பிடப்பட்ட முக்கியமான பாடம் அல்லது நெறியைக் குறுக்கே நிரப்புக: ""________"". || 1) மத்தேயு 3 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன? | 2) மத்தேயு 3 இல் எந்த شخصیت(பேர்) முக்கியமான பாத்திரமாக உள்ளது? | 3) மத்தேயு 3 இல் குறிப்பிடப்பட்ட முக்கியமான பாடம் அல்லது நெறியைக் குறுக்கே நிரப்புக: ""________"".",1) இந்த அத்தியாயத்தின் முக்கிய நிகழ்வு: இங்கே ஆதியாகமம் இல் ஒரு முக்கிய சம்பவம் رخியது மற்றும் அதை 통해 நம்பிக்கை அல்லது கடவுளின் நிகழ்வை போன்று விளக்குகிறது. | 2) இதில் முக்கிய பாத்திரம்: ஆதியாகமம் 3 இல் ஒரு முக்கிய நபர் அல்லது குழு நடிக்கின்றனர். | 3) பதில்: நம்பிக்கை அல்லது poslu அல்லது கடவுளின் அருள் || 1) இந்த அத்தியாயத்தின் முக்கிய நிகழ்வு: இங்கே மத்தேயு இல் ஒரு முக்கிய சம்பவம் رخியது மற்றும் அதை 통해 நம்பிக்கை அல்லது கடவுளின் நிகழ்வை போன்று விளக்குகிறது. | 2) இதில் முக்கிய பாத்திரம்: மத்தேயு 3 இல் ஒரு முக்கிய நபர் அல்லது குழு நடிக்கின்றனர். | 3) பதில்: நம்பிக்கை அல்லது poslu அல்லது கடவுளின் அருள்
2026-01-04,ஆதியாகமம் 4,மத்தேயு 4,"1) ஆதியாகமம் 4 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன? | 2) ஆதியாகமம் 4 இல் எந்த شخصیت(பேர்) முக்கியமான பாத்திரமாக உள்ளது? | 3) ஆதியாகமம் 4 இல் குறிப்பிடப்பட்ட முக்கியமான பாடம் அல்லது நெறியைக் குறுக்கே நிரப்புக: ""________"". || 1) மத்தேயு 4 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன? | 2) மத்தேயு 4 இல் எந்த شخصیت(பேர்) முக்கியமான பாத்திரமாக உள்ளது? | 3) மத்தேயு 4 இல் குறிப்பிடப்பட்ட முக்கியமான பாடம் அல்லது நெறியைக் குறுக்கே நிரப்புக: ""________"".",1) இந்த அத்தியாயத்தின் முக்கிய நிகழ்வு: இங்கே ஆதியாகமம் இல் ஒரு முக்கிய சம்பவம் رخியது மற்றும் அதை 통해 நம்பிக்கை அல்லது கடவுளின் நிகழ்வை போன்று விளக்குகிறது. | 2) இதில் முக்கிய பாத்திரம்: ஆதியாகமம் 4 இல் ஒரு முக்கிய நபர் அல்லது குழு நடிக்கின்றனர். | 3) பதில்: நம்பிக்கை அல்லது poslu அல்லது கடவுளின் அருள் || 1) இந்த அத்தியாயத்தின் முக்கிய நிகழ்வு: இங்கே மத்தேயு இல் ஒரு முக்கிய சம்பவம் رخியது மற்றும் அதை 통해 நம்பிக்கை அல்லது கடவுளின் நிகழ்வை போன்று விளக்குகிறது. | 2) இதில் முக்கிய பாத்திரம்: மத்தேயு 4 இல் ஒரு முக்கிய நபர் அல்லது குழு நடிக்கின்றனர். | 3) பதில்: நம்பிக்கை அல்லது poslu அல்லது கடவுளின் அருள்
2026-01-05,ஆதியாகமம் 5,மத்தேயு 5,"1) ஆதியாகமம் 5 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன? | 2) ஆதியாகமம் 5 இல் எந்த شخصیت(பேர்) முக்கியமான பாத்திரமாக உள்ளது? | 3) ஆதியாகமம் 5 இல் குறிப்பிடப்பட்ட முக்கியமான பாடம் அல்லது நெறியைக் குறுக்கே நிரப்புக: ""________"". || 1) மத்தேயு 5 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன? | 2) மத்தேயு 5 இல் எந்த شخصیت(பேர்) முக்கியமான பாத்திரமாக உள்ளது? | 3) மத்தேயு 5 இல் குறிப்பிடப்பட்ட முக்கியமான பாடம் அல்லது நெறியைக் குறுக்கே நிரப்புக: ""________"".",1) இந்த அத்தியாயத்தின் முக்கிய நிகழ்வு: இங்கே ஆதியாகமம் இல் ஒரு முக்கிய சம்பவம் رخியது மற்றும் அதை 통해 நம்பிக்கை அல்லது கடவுளின் நிகழ்வை போன்று விளக்குகிறது. | 2) இதில் முக்கிய பாத்திரம்: ஆதியாகமம் 5 இல் ஒரு முக்கிய நபர் அல்லது குழு நடிக்கின்றனர். | 3) பதில்: நம்பிக்கை அல்லது poslu அல்லது கடவுளின் அருள் || 1) இந்த அத்தியாயத்தின் முக்கிய நிகழ்வு: இங்கே மத்தேயு இல் ஒரு முக்கிய சம்பவம் رخியது மற்றும் அதை 통해 நம்பிக்கை அல்லது கடவுளின் நிகழ்வை போன்று விளக்குகிறது. | 2) இதில் முக்கிய பாத்திரம்: மத்தேயு 5 இல் ஒரு முக்கிய நபர் அல்லது குழு நடிக்கின்றனர். | 3) பதில்: நம்பிக்கை அல்லது poslu அல்லது கடவுளின் அருள்
2026-01-06,ஆதியாகமம் 6,மத்தேயு 6,"1) ஆதியாகமம் 6 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன? | 2) ஆதியாகமம் 6 இல் எந்த شخصیت(பேர்) முக்கியமான பாத்திரமாக உள்ளது? | 3) ஆதியாகமம் 6 இல் குறிப்பிடப்பட்ட முக்கியமான பாடம் அல்லது நெறியைக் குறுக்கே நிரப்புக: ""________"". || 1) மத்தேயு 6 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன? | 2) மத்தேயு 6 இல் எந்த شخصیت(பேர்) முக்கியமான பாத்திரமாக உள்ளது? | 3) மத்தேயு 6 இல் குறிப்பிடப்பட்ட முக்கியமான பாடம் அல்லது நெறியைக் குறுக்கே நிரப்புக: ""________"".",1) இந்த அத்தியாயத்தின் முக்கிய நிகழ்வு: இங்கே ஆதியாகமம் இல் ஒரு முக்கிய சம்பவம் رخியது மற்றும் அதை 통해 நம்பிக்கை அல்லது கடவுளின் நிகழ்வை போன்று விளக்குகிறது. | 2) இதில் முக்கிய பாத்திரம்: ஆதியாகமம் 6 இல் ஒரு முக்கிய நபர் அல்லது குழு நடிக்கின்றனர். | 3) பதில்: நம்பிக்கை அல்லது poslu அல்லது கடவுளின் அருள் || 1) இந்த அத்தியாயத்தின் முக்கிய நிகழ்வு: இங்கே மத்தேயு இல் ஒரு முக்கிய சம்பவம் رخியது மற்றும் அதை 통해 நம்பிக்கை அல்லது கடவுளின் நிகழ்வை போன்று விளக்குகிறது. | 2) இதில் முக்கிய பாத்திரம்: மத்தேயு 6 இல் ஒரு முக்கிய நபர் அல்லது குழு நடிக்கின்றனர். | 3) பதில்: நம்பிக்கை அல்லது poslu அல்லது கடவுளின் அருள்
2026-01-07,ஆதியாகமம் 7,மத்தேயு 7,"1) ஆதியாகமம் 7 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன? | 2) ஆதியாகமம் 7 இல் எந்த شخصیت(பேர்) முக்கியமான பாத்திரமாக உள்ளது? | 3) ஆதியாகமம் 7 இல் குறிப்பிடப்பட்ட முக்கியமான பாடம் அல்லது நெறியைக் குறுக்கே நிரப்புக: ""________"". || 1) மத்தேயு 7 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன? | 2) மத்தேயு 7 இல் எந்த شخصیت(பேர்) முக்கியமான பாத்திரமாக உள்ளது? | 3) மத்தேயு 7 இல் குறிப்பிடப்பட்ட முக்கியமான பாடம் அல்லது நெறியைக் குறுக்கே நிரப்புக: ""________"".",1) இந்த அத்தியாயத்தின் முக்கிய நிகழ்வு: இங்கே ஆதியாகமம் இல் ஒரு முக்கிய சம்பவம் رخியது மற்றும் அதை 통해 நம்பிக்கை அல்லது கடவுளின் நிகழ்வை போன்று விளக்குகிறது. | 2) இதில் முக்கிய பாத்திரம்: ஆதியாகமம் 7 இல் ஒரு முக்கிய நபர் அல்லது குழு நடிக்கின்றனர். | 3) பதில்: நம்பிக்கை அல்லது poslu அல்லது கடவுளின் அருள் || 1) இந்த அத்தியாயத்தின் முக்கிய நிகழ்வு: இங்கே மத்தேயு இல் ஒரு முக்கிய சம்பவம் رخியது மற்றும் அதை 통해 நம்பிக்கை அல்லது கடவுளின் நிகழ்வை போன்று விளக்குகிறது. | 2) இதில் முக்கிய பாத்திரம்: மத்தேயு 7 இல் ஒரு முக்கிய நபர் அல்லது குழு நடிக்கின்றனர். | 3) பதில்: நம்பிக்கை அல்லது poslu அல்லது கடவுளின் அருள்
2026-01-08,ஆதியாகமம் 8,மத்தேயு 8,"1) ஆதியாகமம் 8 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன? | 2) ஆதியாகமம் 8 இல் எந்த شخصیت(பேர்) முக்கியமான பாத்திரமாக உள்ளது? | 3) ஆதியாகமம் 8 இல் குறிப்பிடப்பட்ட முக்கியமான பாடம் அல்லது நெறியைக் குறுக்கே நிரப்புக: ""________"". || 1) மத்தேயு 8 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன? | 2) மத்தேயு 8 இல் எந்த شخصیت(பேர்) முக்கியமான பாத்திரமாக உள்ளது? | 3) மத்தேயு 8 இல் குறிப்பிடப்பட்ட முக்கியமான பாடம் அல்லது நெறியைக் குறுக்கே நிரப்புக: ""________"".",1) இந்த அத்தியாயத்தின் முக்கிய நிகழ்வு: இங்கே ஆதியாகமம் இல் ஒரு முக்கிய சம்பவம் رخியது மற்றும் அதை 통해 நம்பிக்கை அல்லது கடவுளின் நிகழ்வை போன்று விளக்குகிறது. | 2) இதில் முக்கிய பாத்திரம்: ஆதியாகமம் 8 இல் ஒரு முக்கிய நபர் அல்லது குழு நடிக்கின்றனர். | 3) பதில்: நம்பிக்கை அல்லது poslu அல்லது கடவுளின் அருள் || 1) இந்த அத்தியாயத்தின் முக்கிய நிகழ்வு: இங்கே மத்தேயு இல் ஒரு முக்கிய சம்பவம் رخியது மற்றும் அதை 통해 நம்பிக்கை அல்லது கடவுளின் நிகழ்வை போன்று விளக்குகிறது. | 2) இதில் முக்கிய பாத்திரம்: மத்தேயு 8 இல் ஒரு முக்கிய நபர் அல்லது குழு நடிக்கின்றனர். | 3) பதில்: நம்பிக்கை அல்லது poslu அல்லது கடவுளின் அருள்
2026-01-09,ஆதியாகமம் 9,மத்தேயு 9,"1) ஆதியாகமம் 9 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன? | 2) ஆதியாகமம் 9 இல் எந்த شخصیت(பேர்) முக்கியமான பாத்திரமாக உள்ளது? | 3) ஆதியாகமம் 9 இல் குறிப்பிடப்பட்ட முக்கியமான பாடம் அல்லது நெறியைக் குறுக்கே நிரப்புக: ""________"". || 1) மத்தேயு 9 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன? | 2) மத்தேயு 9 இல் எந்த شخصیت(பேர்) முக்கியமான பாத்திரமாக உள்ளது? | 3) மத்தேயு 9 இல் குறிப்பிடப்பட்ட முக்கியமான பாடம் அல்லது நெறியைக் குறுக்கே நிரப்புக: ""________"".",1) இந்த அத்தியாயத்தின் முக்கிய நிகழ்வு: இங்கே ஆதியாகமம் இல் ஒரு முக்கிய சம்பவம் رخியது மற்றும் அதை 통해 நம்பிக்கை அல்லது கடவுளின் நிகழ்வை போன்று விளக்குகிறது. | 2) இதில் முக்கிய பாத்திரம்: ஆதியாகமம் 9 இல் ஒரு முக்கிய நபர் அல்லது குழு நடிக்கின்றனர். | 3) பதில்: நம்பிக்கை அல்லது poslu அல்லது கடவுளின் அருள் || 1) இந்த அத்தியாயத்தின் முக்கிய நிகழ்வு: இங்கே மத்தேயு இல் ஒரு முக்கிய சம்பவம் رخியது மற்றும் அதை 통해 நம்பிக்கை அல்லது கடவுளின் நிகழ்வை போன்று விளக்குகிறது. | 2) இதில் முக்கிய பாத்திரம்: மத்தேயு 9 இல் ஒரு முக்கிய நபர் அல்லது குழு நடிக்கின்றனர். | 3) பதில்: நம்பிக்கை அல்லது poslu அல்லது கடவுளின் அருள்
2026-01-10,ஆதியாகமம் 10,மத்தேயு 10,"1) ஆதியாகமம் 10 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன? | 2) ஆதியாகமம் 10 இல் எந்த شخصیت(பேர்) முக்கியமான பாத்திரமாக உள்ளது? | 3) ஆதியாகமம் 10 இல் குறிப்பிடப்பட்ட முக்கியமான பாடம் அல்லது நெறியைக் குறுக்கே நிரப்புக: ""________"". || 1) மத்தேயு 10 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன? | 2) மத்தேயு 10 இல் எந்த شخصیت(பேர்) முக்கியமான பாத்திரமாக உள்ளது? | 3) மத்தேயு 10 இல் குறிப்பிடப்பட்ட முக்கியமான பாடம் அல்லது நெறியைக் குறுக்கே நிரப்புக: ""________"".",1) இந்த அத்தியாயத்தின் முக்கிய நிகழ்வு: இங்கே ஆதியாகமம் இல் ஒரு முக்கிய சம்பவம் رخியது மற்றும் அதை 통해 நம்பிக்கை அல்லது கடவுளின் நிகழ்வை போன்று விளக்குகிறது. | 2) இதில் முக்கிய பாத்திரம்: ஆதியாகமம் 10 இல் ஒரு முக்கிய நபர் அல்லது குழு நடிக்கின்றனர். | 3) பதில்: நம்பிக்கை அல்லது poslu அல்லது கடவுளின் அருள் || 1) இந்த அத்தியாயத்தின் முக்கிய நிகழ்வு: இங்கே மத்தேயு இல் ஒரு முக்கிய சம்பவம் رخியது மற்றும் அதை 통해 நம்பிக்கை அல்லது கடவுளின் நிகழ்வை போன்று விளக்குகிறது. | 2) இதில் முக்கிய பாத்திரம்: மத்தேயு 10 இல் ஒரு முக்கிய நபர் அல்லது குழு நடிக்கின்றனர். | 3) பதில்: நம்பிக்கை அல்லது poslu அல்லது கடவுளின் அருள்
